cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
47855,45.503,83.989,48.0,84.0
47860,44.9535,84.5215,53.0,86.5
47862,43.114,82.611,56.0,86.0
47864,43.992,82.615,51.0,86.0
47867,43.3245,83.43700000000001,51.0,85.0
47885,44.2,84.52,47.0,86.0
47886,43.218,83.244,49.0,87.0
47887,44.48500000000001,83.67899999999999,51.333333333333336,84.66666666666667
47891,44.015,84.009,53.0,88.0
47893,43.201,83.669,48.0,85.0
47894,43.731,81.247,59.0,87.0
47899,41.616,83.772,56.0,87.0
47900,43.7715,83.827,47.0,85.0
47904,43.807,83.914,56.0,87.0
47906,44.042,82.574,51.0,84.0
47907,41.924,83.8,49.0,86.0
47909,44.95,82.842,55.0,83.0
47912,44.519,83.486,53.0,85.0
47919,43.4755,84.17349999999999,45.0,85.0
47923,41.986,83.243,54.0,88.0
47927,43.003,82.81,50.0,87.0
47931,41.373,81.617,58.0,89.0
47932,44.765,83.55,45.0,82.0
47933,41.463,81.707,48.0,83.0
47942,43.831,82.314,48.0,84.0
47944,45.388,84.145,56.0,89.0
47945,42.321,83.642,54.0,86.0
47946,42.098,82.984,47.0,82.0
47948,39.718,82.791,49.0,89.0
47949,44.629,84.331,42.0,83.0
47951,43.674,84.192,53.0,87.0
47960,45.77,84.282,48.0,84.0
47961,44.647,84.06,45.0,83.0
47962,43.612,83.096,48.0,88.0
47966,43.5895,83.6335,56.0,86.5
47967,45.77,84.552,53.0,86.0
47978,43.463,82.736,49.0,86.0
47979,42.799,83.873,49.0,87.0
47980,43.609,85.195,47.0,87.0
47984,41.265,82.274,40.0,82.0
47990,43.442,82.144,55.0,84.0
47991,45.957,85.211,52.0,86.0
47994,44.04933333333333,84.13066666666667,47.333333333333336,84.33333333333333
47999,44.409,83.008,50.0,82.0
48002,43.286,82.596,47.0,84.0
48005,40.013,83.424,48.0,88.0
48006,44.7475,83.7695,48.0,84.5
48011,41.549,83.071,50.0,83.0
48012,43.224,82.444,45.0,86.0
48015,43.709,83.844,47.0,84.0
48016,42.413,83.957,52.0,85.0
48021,43.361,83.64,45.0,85.0
48024,41.95,82.898,45.0,83.0
